horizon,variable,coef,t_stat,p_value,model_llf,model_pseudo_r2
24h,flair_score,-0.09341251363725885,-0.810082094157127,0.4178929946971889,-552.8694827194333,0.00534722452774794
24h,vader_score,-0.13956378971125694,-1.0335599310642805,0.30134193950658617,-552.8694827194333,0.00534722452774794
5min lag5,distilbert_score,-0.03043670837072595,-0.22008436785486235,0.8258054489938138,-400.4903683904556,0.006555886161445201
5min lag5,svc_score,-0.0710918729081161,-0.47153030888746433,0.6372620809035563,-400.4903683904556,0.006555886161445201
5min lag5,gbdt_score,0.1096665525918686,0.6178158134249477,0.5366967582743631,-400.4903683904556,0.006555886161445201
5min lag5,knn_score,-0.0894647399152262,-0.6565584769481235,0.5114648554524462,-400.4903683904556,0.006555886161445201
5min lag5,flair_score,0.19104339356966182,1.3341325030568523,0.18216043532286785,-400.4903683904556,0.006555886161445201
5min lag5,vader_score,-0.2914195249215464,-1.7684283173636093,0.07698932604111482,-400.4903683904556,0.006555886161445201
15min lag5,distilbert_score,0.12056948941170656,0.871254947731759,0.3836149636815035,-388.9160494718943,0.012936336043038676
15min lag5,svc_score,-0.01591388960351812,-0.10457426133206592,0.916713639180245,-388.9160494718943,0.012936336043038676
15min lag5,gbdt_score,-0.29701724081780306,-1.5936010991891216,0.11102540814946246,-388.9160494718943,0.012936336043038676
15min lag5,knn_score,-0.11260303367149536,-0.8219441851316442,0.4111086639644095,-388.9160494718943,0.012936336043038676
15min lag5,flair_score,0.1632964687806261,1.1447117719372575,0.2523285733763141,-388.9160494718943,0.012936336043038676
15min lag5,vader_score,-0.18805054967384155,-1.1332176647012175,0.2571228577770537,-388.9160494718943,0.012936336043038676
30min lag5,distilbert_score,0.015616268789003919,0.06714891024377004,0.94646315698635,-142.84447792262708,0.030515639899866942
30min lag5,svc_score,0.17971039911255066,0.7984704777093784,0.42459751858930406,-142.84447792262708,0.030515639899866942
30min lag5,gbdt_score,-0.32075929254484625,-1.1425697397434762,0.25321727531096216,-142.84447792262708,0.030515639899866942
30min lag5,knn_score,0.17722929486569924,0.7849038445556953,0.4325099477773563,-142.84447792262708,0.030515639899866942
30min lag5,flair_score,0.3564395278042805,1.5182067739322604,0.1289622803832064,-142.84447792262708,0.030515639899866942
30min lag5,vader_score,-0.6027796515385716,-2.0830710193251467,0.03724475054312779,-142.84447792262708,0.030515639899866942
1h lag5,distilbert_score,0.1644715920462744,1.1680924985292807,0.2427694558604011,-370.203291027361,0.020665121102592887
1h lag5,svc_score,-0.29680758018537173,-1.9050398918707045,0.05677488578809808,-370.203291027361,0.020665121102592887
1h lag5,gbdt_score,0.04904099801273915,0.2657755979877922,0.7904120374970371,-370.203291027361,0.020665121102592887
1h lag5,knn_score,0.25815200604062066,1.7949848715807517,0.07265611031728046,-370.203291027361,0.020665121102592887
1h lag5,flair_score,0.19425564086069674,1.338695449239017,0.1806698383705191,-370.203291027361,0.020665121102592887
1h lag5,vader_score,-0.06525075079062641,-0.38544789663195056,0.6999056022613248,-370.203291027361,0.020665121102592887
2h lag5,distilbert_score,0.31513355600414966,1.3701276311686073,0.17064706385917516,-142.93575742311026,0.03144039367533635
2h lag5,svc_score,0.12161153525279944,0.539187774846561,0.5897572949350851,-142.93575742311026,0.03144039367533635
2h lag5,gbdt_score,-0.38496231578869683,-1.337135600975442,0.1811783782203631,-142.93575742311026,0.03144039367533635
2h lag5,knn_score,0.15348951170525865,0.6714580289865641,0.5019287883811234,-142.93575742311026,0.03144039367533635
2h lag5,flair_score,0.13019028506844665,0.5651505980541381,0.5719713353726421,-142.93575742311026,0.03144039367533635
2h lag5,vader_score,-0.2964670411158185,-1.0496486397246623,0.2938796854554978,-142.93575742311026,0.03144039367533635
5h lag5,distilbert_score,0.5173463442828657,1.992029048134066,0.04636787081447788,-127.7379750518198,0.02666391869660556
5h lag5,svc_score,-0.09170234547777052,-0.3855919991565913,0.6997988596052256,-127.7379750518198,0.02666391869660556
5h lag5,gbdt_score,-0.21555568419879734,-0.6860860490378654,0.4926588477985435,-127.7379750518198,0.02666391869660556
5h lag5,knn_score,0.23102873562585247,0.947565972456949,0.3433504558902716,-127.7379750518198,0.02666391869660556
5h lag5,flair_score,-0.1632152432726472,-0.6311289232274475,0.5279562309533175,-127.7379750518198,0.02666391869660556
5h lag5,vader_score,-0.3722876015045467,-1.248237752146811,0.21194400246300849,-127.7379750518198,0.02666391869660556
12h lag5,distilbert_score,0.17344492161089067,1.1118694122775303,0.26619430189830795,-333.54742116407897,0.006207403811745671
12h lag5,svc_score,-0.10139512715345438,-0.6249368595679557,0.5320124993657305,-333.54742116407897,0.006207403811745671
12h lag5,gbdt_score,-0.22478781245992183,-1.1598960373697476,0.24609113628894042,-333.54742116407897,0.006207403811745671
12h lag5,knn_score,0.08429165628078605,0.554383592412525,0.5793163525986942,-333.54742116407897,0.006207403811745671
12h lag5,flair_score,-0.015738402305418644,-0.09887489888067626,0.9212375990186707,-333.54742116407897,0.006207403811745671
12h lag5,vader_score,-0.1241736146542327,-0.6819309306162098,0.4952826261200396,-333.54742116407897,0.006207403811745671
24h lag5,distilbert_score,0.391381290727581,2.4211966572082453,0.015469505955677473,-313.52031854298286,0.012360049207098878
24h lag5,svc_score,0.05695840143711135,0.3470380744629807,0.7285627149210196,-313.52031854298286,0.012360049207098878
24h lag5,gbdt_score,0.07771156752821302,0.3906545474678769,0.6960526000957474,-313.52031854298286,0.012360049207098878
24h lag5,knn_score,0.021794106020893926,0.14481973946556198,0.884853196683973,-313.52031854298286,0.012360049207098878
24h lag5,flair_score,-0.15149763907690625,-0.9202528468937522,0.3574406437377411,-313.52031854298286,0.012360049207098878
24h lag5,vader_score,-0.30531017422790635,-1.6309207560274384,0.10290704149180249,-313.52031854298286,0.012360049207098878
