Date,Close,Open,High,Low,Return,Return%,Log Return,Log Return-3d,Log Return-5d,SMA-5d,SMA-8d,SMA-13d,SMA-21d,EMA-5d,EMA-8d,EMA-12d,EMA-26d,RSI-14d,RSI-21d,UpperBollingerBand,LowerBollingerBand,MACD,Stoc%K,TR,ATR,Gain,Loss,,,,,
4/30/2025,5569.06,5499.44,5581.84,5433.24,35.08,0.006299088,1.545059585,1.91019737,1.793930007,5624.74,5657.386667,5752.465714,5799.925909,5624.390088,5658.044349,5698.952736,5795.917257,18.27051225,30.93767734,5685.782428,5563.697572,-96.96452102,25.52558257,104.7,61.67,0,35.08,,,,,
4/29/2025,5560.83,5508.87,5571.95,5505.7,8.23,0.001479995,0.915399835,2.09981871,1.66351247,5612.998333,5625.902222,5723.696429,5783.977727,5603.203392,5636.44116,5677.703084,5778.503386,14.69097922,30.6202149,5694.615545,5531.381122,-100.8003018,45.12859496,60.19,59.41,0,8.23,,,,,
4/28/2025,5528.75,5529.22,5553.66,5468.64,32.08,0.005802397,1.50623436,1.877313743,2.085040707,5599.971667,5611.328889,5693.008571,5766.549545,5578.385595,5612.509791,5654.787225,5760.003135,14.03024062,30.33707865,5696.088563,5503.854771,-105.2159101,52.17700795,31.61,75.87,0,32.08,,,,,
4/25/2025,5525.21,5489.73,5528.11,5455.86,3.54,0.0006407,0.549003262,1.641969598,2.208064948,5579.11,5595.914444,5665.028571,5750.034091,5560.660397,5593.109838,5634.852267,5742.611051,14.98122653,27.62035981,5687.131861,5471.088139,-107.7587837,80.74282316,39.02,72.7,0,3.54,,,,,
4/24/2025,5484.77,5381.38,5489.4,5371.96,40.44,0.007373144,1.606811147,1.881156321,2.076895194,5545.46,5579.635556,5635.899286,5730.180909,5535.363598,5569.034318,5611.762688,5723.511714,14.56229688,30.29893829,5603.350729,5487.569271,-111.7490262,81.75028009,143.83,94.3,0,40.44,,,,,
4/23/2025,5375.86,5395.92,5469.69,5356.17,108.91,0.020259084,2.037067758,2.184379081,2.286007122,5507.413333,5553.963333,5599.421429,5710.773636,5482.195732,5526.106692,5575.469967,5697.759735,12.35348755,23.42087557,5567.260413,5447.566254,-122.2897685,59.30628593,88.85,98.942,0,108.91,,,,,
4/22/2025,5287.76,5207.67,5309.61,5207.67,88.1,0.016661119,1.944975908,2.375572174,2.43627399,5460.53,5513.672222,5559.676429,5685.580455,5417.383821,5473.14076,5531.206895,5667.389384,11.57304457,21.07002213,5589.166706,5331.893294,-136.1824896,39.67296445,168.19,125.16,0,88.1,,,,,
4/21/2025,5158.2,5232.94,5232.94,5101.63,129.56,0.025117289,2.112470939,2.513976286,2.568846818,5393.425,5454.953333,5523.84,5654.38,5330.989214,5403.153925,5473.821219,5629.671652,12.5192368,10.73465044,5581.959373,5204.890627,-155.8504335,0,54.82,113.302,0,129.56,,,,,
4/17/2025,5282.7,5305.45,5328.31,5255.58,-124.5,-0.023567494,-2.095169351,1.96922948,2.384729652,5352.416667,5419.237778,5496.608571,5624.481818,5314.892809,5376.386386,5444.417954,5603.970048,25.86355348,18.97893356,5619.029564,5085.803769,-159.5520941,52.21658348,170.11,130.474,124.5,0,,,,,
4/16/2025,5275.7,5335.75,5367.24,5220.79,7,0.001326838,0.84509804,1.081347308,2.320291719,5310.831667,5386.642222,5471.21,5593.213636,5301.82854,5354.011633,5418.461346,5579.653748,26.73210313,18.94820152,5527.822909,5093.840424,-161.1924025,47.42301328,84.54,109.402,0,7,,,,,
